,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H,H
7,3.0,0.0,0.0,16.0,0.0,26.0,25.0,20.0,4.0,22.0,20.0,0.0,0.0,28.0,8.0,3.0,178.0,9.0,56.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
8,3.0,0.0,0.0,24.0,0.0,22.0,20.0,30.0,2.0,20.0,22.0,0.0,0.0,49.0,12.0,13.0,152.0,35.0,57.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0
9,6.0,0.0,0.0,28.0,0.0,30.0,22.0,28.0,3.0,18.0,25.0,0.0,0.0,42.0,10.0,5.0,192.0,24.0,48.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
10,3.0,0.0,0.0,24.0,0.0,22.0,33.0,41.0,6.0,14.0,23.0,0.0,0.0,67.0,14.0,10.0,153.0,12.0,74.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
11,3.0,0.0,0.0,25.0,1.0,25.0,30.0,51.0,2.0,14.0,37.0,0.0,0.0,52.0,12.0,8.0,125.0,19.0,66.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0
12,5.0,0.0,0.0,38.0,1.0,21.0,18.0,47.0,2.0,7.0,29.0,0.0,0.0,47.0,10.0,5.0,145.0,20.0,60.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,25.0,1.0,21.0,31.0,34.0,5.0,12.0,42.0,0.0,0.0,31.0,5.0,5.0,131.0,21.0,64.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0
2,5.0,0.0,0.0,20.0,0.0,16.0,16.0,27.0,4.0,17.0,32.0,0.0,0.0,32.0,10.0,6.0,148.0,29.0,48.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0
3,5.0,0.0,0.0,27.0,1.0,24.0,29.0,37.0,1.0,20.0,28.0,0.0,0.0,35.0,6.0,3.0,143.0,21.0,77.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
4,3.0,0.0,0.0,18.0,0.0,14.0,24.0,37.0,3.0,15.0,27.0,0.0,0.0,33.0,15.0,9.0,142.0,17.0,41.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
5,3.0,0.0,0.0,19.0,0.0,22.0,30.0,50.0,3.0,14.0,29.0,0.0,0.0,29.0,17.0,11.0,161.0,34.0,53.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
6,6.0,0.0,0.0,18.0,0.0,15.0,26.0,23.0,2.0,9.0,34.0,0.0,0.0,45.0,8.0,10.0,243.0,31.0,74.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
7,4.0,0.0,0.0,13.0,0.0,31.0,23.0,29.0,1.0,12.0,32.0,0.0,0.0,33.0,10.0,3.0,208.0,16.0,67.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
8,4.0,0.0,0.0,22.0,0.0,31.0,32.0,43.0,1.0,9.0,32.0,0.0,0.0,28.0,14.0,3.0,194.0,32.0,58.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
9,4.0,0.0,0.0,21.0,0.0,14.0,31.0,31.0,1.0,10.0,37.0,0.0,0.0,37.0,10.0,6.0,160.0,16.0,56.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
10,4.0,0.0,0.0,23.0,0.0,13.0,33.0,37.0,3.0,6.0,27.0,0.0,0.0,46.0,15.0,8.0,152.0,38.0,65.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
