,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H
7,7.0,2.0,0.0,40.0,0.0,12.0,139.0,529.0,3.0,56.0,320.0,1.0,0.0,294.0,37.0,15.0,175.0,52.0,238.0,9.0,13.0
8,13.0,6.0,0.0,54.0,0.0,10.0,153.0,539.0,2.0,65.0,414.0,0.0,0.0,300.0,49.0,32.0,150.0,24.0,241.0,11.0,12.0
9,12.0,12.0,0.0,47.0,0.0,9.0,138.0,381.0,3.0,74.0,310.0,0.0,0.0,269.0,30.0,12.0,128.0,12.0,203.0,5.0,9.0
10,9.0,7.0,0.0,43.0,0.0,8.0,177.0,545.0,0.0,42.0,400.0,0.0,0.0,297.0,37.0,17.0,100.0,15.0,218.0,7.0,12.0
11,12.0,10.0,0.0,59.0,0.0,8.0,171.0,448.0,7.0,39.0,456.0,0.0,0.0,341.0,56.0,15.0,183.0,12.0,249.0,6.0,13.0
12,13.0,33.0,0.0,41.0,0.0,13.0,141.0,462.0,4.0,89.0,535.0,0.0,0.0,308.0,48.0,21.0,340.0,11.0,244.0,9.0,15.0
1,15.0,1.0,0.0,55.0,1.0,8.0,187.0,500.0,2.0,372.0,158.0,0.0,0.0,279.0,33.0,11.0,151.0,51.0,226.0,7.0,6.0
2,6.0,3.0,0.0,46.0,0.0,4.0,172.0,523.0,2.0,398.0,157.0,0.0,0.0,260.0,48.0,8.0,146.0,38.0,185.0,10.0,14.0
3,14.0,1.0,0.0,56.0,0.0,4.0,171.0,512.0,1.0,471.0,195.0,1.0,0.0,292.0,55.0,9.0,190.0,30.0,226.0,5.0,12.0
4,12.0,10.0,0.0,56.0,0.0,7.0,158.0,398.0,3.0,432.0,163.0,0.0,0.0,0.0,62.0,10.0,135.0,32.0,218.0,5.0,18.0
5,18.0,12.0,0.0,45.0,0.0,12.0,158.0,462.0,6.0,446.0,146.0,0.0,0.0,336.0,61.0,8.0,223.0,35.0,254.0,10.0,12.0
6,12.0,7.0,0.0,43.0,0.0,12.0,173.0,515.0,9.0,489.0,161.0,0.0,0.0,414.0,84.0,2.0,176.0,34.0,266.0,11.0,12.0
7,12.0,0.0,0.0,72.0,0.0,14.0,172.0,520.0,5.0,496.0,157.0,0.0,2.0,385.0,57.0,7.0,194.0,37.0,241.0,12.0,16.0
8,16.0,18.0,0.0,65.0,0.0,7.0,174.0,553.0,4.0,485.0,187.0,0.0,0.0,417.0,55.0,12.0,248.0,33.0,268.0,15.0,17.0
9,17.0,6.0,0.0,71.0,0.0,19.0,170.0,534.0,8.0,463.0,186.0,0.0,0.0,427.0,33.0,12.0,196.0,43.0,263.0,9.0,26.0
